Visit_ID,CINEPLEX_D_Membership_ID,Visit_Date,Visit_TimeSlice_ID,Location_ID,Auditorium_Experience_ID,Film_ID,Seating_Experience_ID,Sales_Channel_ID,Performance_Experience_ID,Performance_Type_ID,Spend,Revenue,Points_Earned,Points_Redeemed,Discount,Has_US_Is_LrgPopcorn,Has_US_Is_Butter,Has_US_Is_Alcohol,Has_US_Is_Candy,Has_US_Is_Coffee,Has_US_Is_Kiddietray,Has_US_Is_Voucher,Has_US_Is_MenuFood
51,1339589,2019-01-01,19,7400,4,24977,1,8,1,1,50.99,50.99,427,0,5.66,0,0,0,0,1,0,0,1
52,1463239,2019-01-01,21,9401,1,23805,1,8,1,1,17.07,17.07,165,0,1.9,0,0,0,0,0,0,0,0
53,1475497,2019-01-01,26,7115,1,24899,1,8,1,1,86.67,96.67,881,1000,9.64,0,0,0,1,0,1,0,1
55,1486303,2019-01-01,16,7117,1,24758,1,2,2,1,9.29,9.29,75,0,1.03,0,0,0,0,0,0,0,0
58,1512136,2019-01-01,26,1412,1,29122,1,8,1,1,7.29,7.29,100,0,0.81,0,0,0,0,0,0,0,0
60,1662615,2019-01-01,27,7123,3,30090,2,12,3,1,17.53,17.53,198,0,1.95,0,0,0,0,1,0,0,0
61,1690451,2019-01-01,27,9145,1,29207,1,8,1,1,10.18,10.18,100,0,1.14,0,0,0,0,0,0,0,0
62,1764848,2019-01-01,13,7130,1,24977,1,8,1,1,21.01,21.01,222,0,2.33,0,0,0,0,0,0,0,0
64,1874671,2019-01-01,15,2111,6,29825,1,8,4,4,42.9,42.9,317,0,4.76,0,0,0,0,0,0,0,0
65,1890991,2019-01-01,13,7420,3,30076,2,8,3,1,39.35,55.35,444,3000,4.37,0,0,0,0,0,0,0,1
67,1928166,2019-01-01,24,1146,0,0,0,8,0,0,26.35,26.35,264,0,2.92,1,1,0,0,0,0,0,0
68,2004157,2019-01-01,14,7298,1,29122,1,6,1,1,7.16,7.16,100,0,0.8,0,0,0,0,0,0,0,0
71,2157197,2019-01-01,35,3149,1,27411,1,12,1,1,32.54,32.54,347,0,3.63,1,1,0,1,0,0,0,0
72,2215709,2019-01-01,33,3409,1,23805,1,6,2,1,10.28,10.28,150,0,1.14,0,0,0,0,0,0,0,0
73,2224908,2019-01-01,26,7289,1,24899,1,12,1,1,0,20,0,2000,0,0,0,0,0,0,0,0,0
74,2288071,2019-01-01,16,7415,1,29976,1,8,1,1,20.11,35.648,302,0,2.23,1,1,0,0,0,0,1,0
76,2500139,2019-01-01,27,1412,4,28757,1,12,1,1,41.72,41.72,345,0,4.65,0,1,0,0,0,0,0,0
77,2552362,2019-01-01,13,7263,1,28757,1,8,1,1,31.73,31.73,280,0,3.52,1,0,0,1,0,0,0,0
78,2561971,2019-01-01,34,7406,1,23805,1,2,1,1,7.96,7.96,100,0,0.88,0,0,0,0,0,0,0,0
79,2564936,2019-01-01,32,1408,1,24899,1,6,1,1,7.29,7.29,100,0,0.81,0,0,0,0,0,0,0,0
81,2670397,2019-01-01,33,7402,2,24758,2,8,2,1,20.7,20.7,300,0,2.3,0,0,0,0,0,0,0,0
82,2714930,2019-01-01,22,7411,1,28785,1,8,1,1,27.4,27.4,215,0,3.03,0,0,0,1,0,1,0,0
83,2727942,2019-01-01,21,7260,1,29122,1,8,1,1,39.31,39.31,1350,0,4.37,0,0,0,1,0,0,0,0
84,2806492,2019-01-01,27,9406,1,23805,1,12,2,1,8.22,8.22,150,0,0.91,0,0,0,0,0,0,0,0
85,2821277,2019-01-01,15,7123,1,27411,1,8,1,1,34.49,34.49,280,0,3.84,1,0,0,1,0,0,0,0
88,2896305,2019-01-01,28,2111,1,23805,1,2,2,1,17.38,17.38,150,0,1.94,0,0,0,0,0,0,0,0
89,2918949,2019-01-01,21,7263,2,24899,2,8,1,1,63.52,63.52,541,0,7.08,0,1,0,0,0,0,0,0
90,2951955,2019-01-01,14,9408,1,29976,1,12,1,1,23.4,33.4,170,1000,2.61,0,0,0,0,0,0,0,0
92,2996469,2019-01-01,26,7403,1,30083,1,2,1,1,36.5,36.5,150,0,4.05,0,0,0,0,0,0,0,0
93,3009098,2019-01-01,19,1141,1,28757,1,8,1,1,6.43,6.43,100,0,0.71,0,0,0,0,0,0,0,0
94,3037358,2019-01-01,20,7404,2,24899,1,12,1,1,8.36,8.36,150,0,0.93,0,0,0,0,0,0,0,0
96,3075096,2019-01-01,31,4403,1,28785,1,8,1,1,57.24,57.24,457,0,6.36,1,1,0,1,0,0,0,0
97,3106240,2019-01-01,27,7259,2,24899,2,12,2,1,111.24,111.24,2665,0,12.38,1,0,0,1,0,0,0,0
98,3110935,2019-01-01,38,1146,0,0,0,8,0,0,28.43,28.43,285,0,3.16,1,1,0,0,0,0,0,0
99,3135237,2019-01-01,31,3403,1,24977,1,8,1,1,59.04,59.04,1460,0,6.57,0,1,0,1,0,0,0,0
100,3213109,2019-01-01,15,7422,1,23805,1,2,2,1,9.73,9.73,150,0,1.08,0,0,0,0,0,0,0,0
104,3254938,2019-01-01,28,7135,1,29976,1,8,1,1,24.84,24.84,289,0,2.75,1,0,0,0,0,0,0,0
105,3283148,2019-01-01,27,1422,0,0,0,8,0,0,4.49,4.49,45,0,0.5,0,0,0,0,0,0,0,0
106,3292176,2019-01-01,21,9153,1,29267,1,2,1,1,15.27,15.27,100,0,1.71,0,0,0,0,0,0,0,0
107,3301411,2019-01-01,21,7291,1,24758,1,2,1,1,0,28,0,2500,0,0,0,0,0,0,0,0,0
108,3302235,2019-01-01,19,7407,1,24899,1,2,1,1,0,15.5526,100,0,0,0,0,0,0,0,0,0,0
110,3436578,2019-01-01,28,7117,1,28785,1,2,1,1,13.28,13.28,100,0,1.48,0,0,0,0,0,0,0,0
111,3447091,2019-01-01,33,7405,1,24899,1,6,1,1,14.32,14.32,100,0,1.6,0,0,0,0,0,0,0,0
112,3450400,2019-01-01,19,7408,1,24899,1,8,1,1,29.98,29.98,241,0,3.32,0,1,0,0,1,0,0,0
115,3526516,2019-01-01,23,3150,1,23805,1,8,1,1,29.05,44.6132,237,0,3.23,0,0,0,1,0,0,1,0
116,3538489,2019-01-01,33,1408,0,0,0,8,0,0,25.49,25.49,1255,0,2.83,0,0,0,1,0,0,0,0
117,3659700,2019-01-01,13,7408,1,24758,1,8,2,1,29.72,43.15,365,1500,3.31,0,0,0,0,0,0,0,0
118,3760501,2019-01-01,22,9408,1,24977,1,12,1,1,35.38,35.38,327,0,3.95,1,0,0,1,0,0,0,0
119,3778558,2019-01-01,26,1412,4,27411,1,12,1,1,20.48,40.48,205,4000,2.27,1,1,0,0,0,0,0,0
120,3803449,2019-01-01,21,9407,2,24899,2,8,2,1,30.94,30.94,272,0,3.46,0,0,0,0,0,0,0,1
121,3803692,2019-01-01,11,7290,1,28785,1,8,1,1,28.83,28.83,327,0,3.21,1,0,0,1,0,0,0,0
122,3812386,2019-01-01,13,7407,1,28785,1,12,1,1,21.32,21.32,242,0,2.38,0,1,0,0,0,0,0,0
123,3812684,2019-01-01,28,3147,0,0,0,8,0,0,264.15,264.15,2628,0,29.43,0,0,0,1,0,0,0,0
124,3827420,2019-01-01,29,2401,1,24758,1,2,2,1,52.14,52.14,150,0,5.82,0,0,0,0,0,0,0,0
127,3923135,2019-01-01,33,3103,1,24758,1,2,2,1,22.84,22.84,300,0,2.54,0,0,0,0,0,0,0,0
128,3936546,2019-01-01,34,7402,1,23045,1,8,2,1,0,16,0,3000,0,0,0,0,0,0,0,0,0
129,3980353,2019-01-01,13,9109,0,0,0,8,0,0,7.48,7.48,75,0,0.83,0,0,0,0,0,0,0,0
130,3983048,2019-01-01,33,1137,0,0,0,8,0,0,22.85,22.85,229,0,2.54,0,0,0,1,0,0,0,0
132,4013000,2019-01-01,20,7402,1,24899,1,2,1,1,17.68,17.68,100,0,1.96,0,0,0,0,0,0,0,0
133,4051877,2019-01-01,26,3143,1,24977,1,8,1,1,0,20,0,2000,0,0,0,0,0,0,0,0,0
134,4059625,2019-01-01,28,9406,2,24758,2,12,2,1,9.78,25.78,150,3000,1.09,0,0,0,0,0,0,0,0
135,4168092,2019-01-01,31,3132,1,24758,1,8,2,1,24.63,24.63,292,0,2.74,0,1,0,0,0,0,0,0
136,4175764,2019-01-01,16,3146,1,23805,1,8,1,1,76.12,76.12,552,0,8.48,0,1,0,1,0,1,0,0
137,4184190,2019-01-01,33,1144,1,27411,1,8,1,1,16.71,16.71,100,0,1.86,0,0,0,0,0,0,0,0
139,4282392,2019-01-01,22,4114,0,0,0,8,0,0,22.86,22.86,227,0,2.55,1,0,0,1,0,0,0,0
140,4319237,2019-01-01,18,4114,1,22374,1,8,1,1,38.93,59.79,523,1000,4.34,1,1,0,1,0,0,0,0
141,4340286,2019-01-01,22,1147,1,21676,1,12,1,1,7.29,7.29,100,0,0.81,0,0,0,0,0,0,0,0
145,4668237,2019-01-01,37,1405,0,0,0,8,0,0,10.14,10.14,102,0,1.12,1,0,0,0,0,0,1,0
146,4728760,2019-01-01,30,3134,1,29122,1,8,1,1,12.54,12.54,157,0,1.39,0,0,0,0,0,0,0,0
147,4729340,2019-01-01,14,3403,1,27098,1,8,1,1,7.7,7.7,100,0,0.86,0,0,0,0,0,0,0,0
151,4870845,2019-01-01,35,7213,4,24899,1,2,2,1,28.28,28.28,200,0,3.14,0,0,0,0,0,0,0,0
152,4874048,2019-01-01,38,1415,1,24977,1,8,1,1,10.16,30.16,102,2000,1.14,1,0,0,0,0,0,1,0
153,4926053,2019-01-01,29,4108,1,23805,1,8,2,1,33.14,33.14,235,0,3.67,1,1,0,0,0,0,0,0
155,5077930,2019-01-01,11,9185,1,29694,1,8,1,1,12.16,12.16,100,0,1.36,0,0,0,0,0,0,0,0
157,5126604,2019-01-01,27,7213,1,30154,1,2,1,1,15.92,15.92,100,0,1.76,0,0,0,0,0,0,0,0
158,5154346,2019-01-01,23,8126,0,0,0,8,0,0,1.49,1.49,15,0,0.17,1,1,0,0,0,0,0,0
160,5173694,2019-01-01,9,7123,1,21676,1,8,2,1,43.72,43.72,301,0,4.86,0,0,0,1,1,1,0,0
162,5211375,2019-01-01,27,5145,1,24899,1,8,2,1,23.69,23.69,215,0,2.64,0,0,0,0,0,0,0,0
164,5359193,2019-01-01,22,7265,1,24758,1,8,1,1,29.19,29.19,225,0,3.24,0,0,0,1,0,1,0,0
167,5395756,2019-01-01,19,7424,1,27098,1,8,1,1,56.67,56.67,280,0,6.29,1,0,0,1,0,0,0,0
169,5485299,2019-01-01,22,8126,1,24977,1,8,1,1,35.69,56.55,436,1000,3.96,1,1,0,1,0,0,0,0
170,5508679,2019-01-01,27,7285,1,24977,1,2,1,1,6.58,6.58,100,0,0.73,0,0,0,0,0,0,0,0
171,5515310,2019-01-01,26,7422,0,0,0,8,0,0,34.54,34.54,344,0,3.85,0,0,0,1,0,0,0,0
173,5574757,2019-01-01,26,1144,2,24899,2,8,1,1,18.11,18.11,250,0,2.02,0,1,0,0,0,0,0,0
175,5586995,2019-01-01,25,3142,0,0,0,8,0,0,17.17,17.17,172,0,1.91,0,0,0,1,0,0,0,0
176,5621053,2019-01-01,27,7428,1,23805,1,8,1,1,12.61,12.61,200,0,1.4,0,0,0,0,0,0,0,0
177,5662787,2019-01-01,23,3403,0,0,0,8,0,0,31.35,31.35,312,0,3.51,1,0,0,1,0,0,0,0
179,5683217,2019-01-01,25,7122,0,0,0,8,0,0,18.77,18.77,188,0,2.08,1,0,0,0,1,0,0,0
180,5716342,2019-01-01,29,7260,1,27098,1,8,1,1,6.99,26.99,70,2000,0.78,0,0,0,0,0,0,0,0
182,5796804,2019-01-01,14,7420,1,24758,1,8,2,1,19.59,19.59,240,0,2.18,0,0,0,0,0,0,0,0
184,5835446,2019-01-01,28,7311,0,0,0,8,0,0,25,25,170,0,2.78,0,0,1,0,0,0,0,1
186,5898460,2019-01-01,19,7411,1,30004,1,12,1,1,0,20,0,2000,0,0,0,0,0,0,0,0,0
187,5899686,2019-01-01,25,8126,1,24899,1,8,2,1,23.87,23.87,215,0,2.66,0,0,0,0,0,0,0,0
188,5917138,2019-01-01,28,9401,1,29267,1,2,2,1,33.92,33.92,150,0,3.76,0,0,0,0,0,0,0,0
189,5927158,2019-01-01,21,7430,1,24758,1,8,1,1,17.43,27.43,217,1000,1.94,0,0,0,0,0,0,0,1
190,5974940,2019-01-01,27,9407,1,23805,1,8,2,1,23.07,23.07,357,0,2.57,0,0,0,0,0,0,0,0
191,5985722,2019-01-01,21,7402,3,30076,2,2,3,1,28.3,28.3,150,0,3.14,0,0,0,0,0,0,0,0
192,6048617,2019-01-01,28,7415,1,24758,1,8,2,1,71.15,71.15,442,0,7.92,0,0,0,1,0,0,0,0
193,6069713,2019-01-01,34,7298,3,30090,2,8,3,1,31.17,31.17,207,0,3.47,0,0,0,0,0,0,0,0
194,6076141,2019-01-01,24,7213,1,27098,1,2,1,1,15.92,15.92,100,0,1.76,0,0,0,0,0,0,0,0
195,6222101,2019-01-01,34,3140,1,26845,1,8,2,1,57.02,65.02,531,1500,6.35,0,0,0,0,0,0,1,1
197,6326993,2019-01-01,21,1145,4,24899,1,2,2,1,30.44,30.44,200,0,3.4,0,0,0,0,0,0,0,0
198,6354437,2019-01-01,26,7130,1,30154,1,12,1,1,0,10,0,1000,0,0,0,0,0,0,0,0,0
202,6603494,2019-01-01,20,7291,1,29976,1,6,1,1,0,20,0,2000,0,0,0,0,0,0,0,0,0
203,6641897,2019-01-01,21,7411,1,24977,1,2,1,1,39.8,39.8,100,0,4.4,0,0,0,0,0,0,0,0
208,6866745,2019-01-01,31,1146,0,0,0,8,0,0,31.33,31.33,314,0,3.49,0,1,0,1,0,0,0,0
209,6880102,2019-01-01,21,7407,2,24899,2,8,2,1,24.76,24.76,150,0,2.76,0,0,0,0,0,0,0,0
210,6883199,2019-01-01,23,7130,1,27414,1,8,1,1,30.24,30.24,200,0,3.36,0,0,0,0,0,0,0,0
211,6885215,2019-01-01,19,5134,1,29976,1,8,1,1,17.97,37.97,180,2000,2,0,0,0,0,0,0,0,0
213,6970246,2019-01-01,21,2111,4,24899,1,12,2,1,11.73,11.73,200,0,1.31,0,0,0,0,0,0,0,0
214,6996390,2019-01-01,28,3103,4,24899,1,2,2,1,45.69,45.69,400,0,5.1,0,0,0,0,0,0,0,0
215,7069380,2019-01-01,23,4112,1,23805,1,8,1,1,19.36,19.36,232,0,2.16,0,1,0,0,0,0,0,0
217,7253397,2019-01-01,16,7262,1,23805,1,8,2,1,40.47,56.47,467,3000,4.5,1,1,0,0,0,0,0,0
218,7254145,2019-01-01,32,1417,1,23805,1,2,2,1,0,8,0,1500,0,0,0,0,0,0,0,0,0
219,7254345,2019-01-01,28,7123,0,0,0,8,0,0,5.19,5.19,52,0,0.58,0,0,0,0,0,0,0,0
220,7259586,2019-01-01,20,6107,1,24977,1,4,1,1,25.45,25.45,100,0,2.85,0,0,0,0,0,0,0,0
221,7312443,2019-01-01,33,7285,2,24899,2,8,2,1,26.39,26.39,297,0,2.92,0,0,0,1,0,0,0,0
222,7362021,2019-01-01,24,9109,1,30004,1,8,1,1,35.22,35.22,100,0,3.9,0,0,0,0,0,0,0,0
223,7392951,2019-01-01,26,7420,1,30004,1,8,1,1,14.32,25.18,200,0,1.6,0,0,0,0,0,0,0,0
224,7483603,2019-01-01,21,7135,1,21676,1,8,1,1,45.35,56.21,533,0,5.06,1,1,0,1,0,0,0,0
225,7634041,2019-01-01,34,7260,2,24758,2,8,2,1,22.83,22.83,267,0,2.54,0,0,0,0,0,0,0,0
227,7647286,2019-01-01,27,9109,1,29108,1,8,1,1,32.7,32.7,297,0,3.63,0,0,0,0,0,0,0,1
229,7732261,2019-01-01,26,7240,1,23805,1,8,2,1,36.36,36.36,275,0,4.02,0,0,0,1,0,1,0,0
230,7755355,2019-01-01,20,7286,1,24899,1,4,1,1,17.91,17.91,100,0,1.98,0,0,0,0,0,0,0,0
231,7805839,2019-01-01,21,6107,1,29976,1,8,1,1,38.03,38.03,377,0,4.24,1,0,0,1,0,0,0,0
234,7860930,2019-01-01,32,1405,0,0,0,8,0,0,36.83,36.83,369,0,4.1,1,1,0,0,0,0,0,1
235,7874936,2019-01-01,32,1409,0,0,0,8,0,0,8.48,8.48,85,0,0.94,0,0,0,0,0,0,0,0
238,7925717,2019-01-01,27,7402,2,24758,3,12,2,1,63.68,63.68,150,0,7.08,0,0,0,0,0,0,0,0
239,7937665,2019-01-01,28,7122,3,30090,2,12,3,1,24.99,40.99,1250,3000,2.77,0,0,0,1,0,0,0,0
240,7938408,2019-01-01,25,7130,1,29910,1,2,1,1,14.32,14.32,100,0,1.6,0,0,0,0,0,0,0,0
241,7958134,2019-01-01,28,7424,2,24899,1,2,2,1,0,16,0,3000,0,0,0,0,0,0,0,0,0
242,7972489,2019-01-01,21,7402,3,30076,2,8,3,1,42.09,42.09,442,0,4.69,0,0,0,1,0,0,0,0
244,8125629,2019-01-01,18,1136,0,0,0,8,0,0,6.99,6.99,70,0,0.78,0,0,0,0,0,0,0,0
245,8163113,2019-01-01,32,2112,1,30062,1,12,1,1,0,30,0,3000,0,0,0,0,0,0,0,0,0
247,8320829,2019-01-01,34,7420,1,29910,1,2,2,1,67.37,67.37,400,0,7.5,0,0,0,0,0,0,0,0
248,8380176,2019-01-01,33,1409,2,24899,2,12,2,1,46.28,46.28,150,0,5.16,0,0,0,0,0,0,0,0
249,8381357,2019-01-01,21,7249,1,24977,1,8,1,1,42.83,42.83,330,0,4.74,0,0,0,0,0,0,0,0
250,8392608,2019-01-01,34,7400,2,24899,2,2,2,1,22.3,22.3,150,0,2.48,0,0,0,0,0,0,0,0
251,8438585,2019-01-01,29,7130,3,30244,2,12,3,1,20.53,20.53,220,0,2.29,0,0,0,0,0,0,0,1
252,8501387,2019-01-01,33,7288,1,24758,1,2,2,1,26.52,26.52,150,0,2.94,0,0,0,0,0,0,0,0
253,8619141,2019-01-01,18,3403,1,21676,1,8,2,1,44.42,44.42,387,0,4.95,1,0,0,1,0,0,0,0
254,8640501,2019-01-01,29,2401,1,28785,1,8,1,1,14.66,24.66,147,1000,1.62,0,0,0,0,1,0,0,1
257,8886535,2019-01-01,14,7429,1,23805,1,2,2,1,15.14,15.14,150,0,1.68,0,0,0,0,0,0,0,0
259,8947754,2019-01-01,19,7408,0,0,0,8,0,0,17.87,17.87,179,0,1.99,1,0,0,0,0,0,0,0
260,8967446,2019-01-01,16,7420,0,0,0,8,0,0,12.18,12.18,122,0,1.36,0,0,0,0,0,0,0,0
261,9096252,2019-01-01,17,3138,0,0,0,8,0,0,20.17,20.17,180,0,2.24,1,0,0,1,0,0,0,0
262,9119167,2019-01-01,24,9185,4,28757,1,12,1,1,35.19,35.19,200,0,3.93,0,0,0,0,0,0,0,0
264,9126324,2019-01-01,22,1137,0,0,0,8,0,0,35.04,35.04,351,0,3.9,0,0,0,1,0,0,0,0
265,9133323,2019-01-01,32,7271,1,24899,1,8,2,1,47.25,47.25,462,0,5.25,0,1,0,1,0,0,0,0
268,9368463,2019-01-01,27,7123,0,0,0,8,0,0,33.16,33.16,382,0,3.69,0,0,0,0,0,0,0,1
269,9409166,2019-01-01,27,7413,0,0,0,8,0,0,19.85,19.85,199,0,2.2,0,0,0,0,0,0,0,0
270,9428267,2019-01-01,26,7404,1,24899,1,8,2,1,40.53,40.53,480,0,4.5,1,0,0,1,0,0,0,0
271,9487039,2019-01-01,27,7213,1,30154,1,2,1,1,7.16,7.16,100,0,0.8,0,0,0,0,0,0,0,0
274,9657704,2019-01-01,27,4108,1,23805,1,12,2,1,16.44,16.44,150,0,1.82,0,0,0,0,0,0,0,0
275,9701402,2019-01-01,29,7311,1,29976,1,8,1,1,54.42,62.2071,395,0,6.04,1,0,1,1,0,0,0,0
276,9733141,2019-01-01,27,3403,2,24758,2,8,1,1,66.98,66.98,409,0,7.47,1,0,0,0,0,0,0,0
277,9738701,2019-01-01,24,9407,1,24899,1,8,2,1,18.74,18.74,242,0,2.08,0,0,0,0,0,0,0,1
278,5548,2019-01-02,22,5130,1,23805,1,8,1,1,14.69,42.69,147,3000,1.63,0,0,0,0,0,0,0,0
279,87357,2019-01-02,21,1422,1,24758,1,8,2,1,21.17,37.17,200,3000,2.35,0,0,0,1,0,0,0,0
280,94031,2019-01-02,21,3401,1,21676,1,12,1,1,13.1,13.1,100,0,1.46,0,0,0,0,0,0,0,0
281,94570,2019-01-02,35,7406,0,0,0,8,0,0,11.98,11.98,120,0,1.33,0,0,0,0,0,0,0,1
282,214812,2019-01-02,19,9406,1,24899,1,8,2,1,18.87,34.4448,237,0,2.09,0,0,0,1,0,0,1,0
285,269549,2019-01-02,29,7260,2,24899,2,8,2,1,33.6,33.6,150,0,3.74,0,0,0,0,0,0,0,0
289,503795,2019-01-02,26,7291,1,29976,1,8,1,1,55.4,55.4,467,0,6.17,1,0,0,1,0,0,0,0
290,558467,2019-01-02,31,9109,1,30004,1,8,1,1,54.34,54.34,100,0,6.02,0,0,0,0,0,0,0,0
292,636230,2019-01-02,20,1129,1,29122,1,6,1,1,41.88,41.88,100,0,4.64,0,0,0,0,0,0,0,0
293,715279,2019-01-02,28,2402,1,28785,1,8,1,1,23.86,33.86,237,1000,2.67,1,0,0,1,0,0,0,0
296,836340,2019-01-02,33,7400,1,27098,1,2,1,1,0,10,0,1000,0,0,0,0,0,0,0,0,0
299,1016872,2019-01-02,26,2111,1,24977,1,2,1,1,17.6,17.6,150,0,1.96,0,0,0,0,0,0,0,0
301,1030673,2019-01-02,19,3140,1,21676,1,8,1,1,38.91,65.33,588,0,4.34,1,0,0,1,0,1,0,0
302,1031167,2019-01-02,32,7428,1,29976,1,8,1,1,9.66,25.2408,197,0,1.08,1,0,0,0,0,0,1,0
304,1111613,2019-01-02,14,7253,1,22374,1,8,2,1,26.77,57.7996,262,0,2.95,0,0,0,0,1,0,0,0
306,1151397,2019-01-02,22,3409,1,27437,1,12,1,1,24.99,34.99,1250,1000,2.77,0,0,0,1,0,0,0,0
307,1188188,2019-01-02,29,3409,1,27411,1,8,1,1,22.15,42.15,200,2000,2.46,1,1,0,1,0,0,0,0
308,1230603,2019-01-02,28,7249,1,27411,1,6,1,1,21.22,21.22,100,0,2.36,0,0,0,0,0,0,0,0
309,1270481,2019-01-02,27,7409,1,24899,1,8,2,1,25.66,33.66,150,1500,2.86,0,0,0,0,0,0,0,0
310,1288030,2019-01-02,27,7404,2,24899,2,12,2,1,16.59,32.59,150,3000,1.85,0,0,0,0,0,0,0,0
311,1312157,2019-01-02,25,7311,0,0,0,8,0,0,14.99,14.99,150,0,1.67,0,1,0,0,0,0,0,0
312,1439248,2019-01-02,32,7413,1,24899,1,8,1,1,44.15,44.15,291,0,4.9,0,0,0,1,0,0,0,0
313,1463239,2019-01-02,20,9109,1,30083,1,2,1,1,23.48,23.48,100,0,2.6,0,0,0,0,0,0,0,0
316,1494578,2019-01-02,27,1147,1,30152,1,12,1,1,0,30,0,3000,0,0,0,0,0,0,0,0,0
317,1498190,2019-01-02,33,7286,1,26845,1,12,1,1,21.22,21.22,100,0,2.36,0,0,0,0,0,0,0,0
318,1580425,2019-01-02,37,1408,0,0,0,8,0,0,21.74,21.74,218,0,2.42,1,0,0,0,0,0,0,0
319,1592355,2019-01-02,26,7266,1,24977,1,8,1,1,13.02,23.02,125,1000,1.44,0,0,0,1,0,1,0,0
